cum	dayOffset	fromHour	max	mean	min	region	timestamp	toHour	weatherParam
-1.0	-1	12	285.197753906	284.078776042	282.324951172	4	2017-11-03	18	2t
-1.0	-1	0	281.061767578	280.168212891	279.274658203	5	2017-11-03	6	2t
-1.0	-1	6	287.112304688	284.127929688	281.061767578	5	2017-11-03	12	2t
-1.0	-1	6	287.112304688	283.609228516	280.490234375	5	2017-11-03	18	2t
-1.0	-1	12	287.112304688	284.258219401	280.490234375	5	2017-11-03	18	2t
-1.0	-1	0	279.452148438	279.237182617	279.022216797	6	2017-11-03	6	2t
-1.0	-1	6	284.609375	282.588216146	279.452148438	6	2017-11-03	12	2t
-1.0	-1	6	284.609375	282.246875	279.452148438	6	2017-11-03	18	2t
-1.0	-1	12	284.609375	282.693033854	279.998046875	6	2017-11-03	18	2t
-1.0	-1	0	278.621337891	278.332519531	278.043701172	7	2017-11-03	6	2t
-1.0	-1	6	285.014160156	282.420491536	278.043701172	7	2017-11-03	12	2t
-1.0	-1	6	285.014160156	282.111523438	278.043701172	7	2017-11-03	18	2t
-1.0	-1	12	285.014160156	282.770100911	279.928955078	7	2017-11-03	18	2t
-1.0	-1	0	288.326904297	287.141601562	285.956298828	8	2017-11-03	6	2t
-1.0	-1	6	288.913085938	287.684651693	285.956298828	8	2017-11-03	12	2t
-1.0	-1	6	288.913085938	287.731298828	285.956298828	8	2017-11-03	18	2t
-1.0	-1	12	288.913085938	288.171875	287.120117188	8	2017-11-03	18	2t
-1.0	-1	0	283.429931641	281.883789062	280.337646484	9	2017-11-03	6	2t
-1.0	-1	6	285.352294922	283.498779297	280.337646484	9	2017-11-03	12	2t
-1.0	-1	6	285.352294922	283.345263672	280.337646484	9	2017-11-03	18	2t
-1.0	-1	12	284.806396484	283.678792318	282.422607422	9	2017-11-03	18	2t
-1.0	-1	0	283.076416016	281.505004883	279.93359375	10	2017-11-03	6	2t
-1.0	-1	6	286.830078125	283.944254557	279.93359375	10	2017-11-03	12	2t
-1.0	-1	6	286.830078125	283.347265625	279.93359375	10	2017-11-03	18	2t
-1.0	-1	12	286.830078125	283.911214193	280.328857422	10	2017-11-03	18	2t
-1.0	-1	0	280.980224609	280.291259766	279.602294922	11	2017-11-03	6	2t
-1.0	-1	6	287.238769531	284.399658203	280.980224609	11	2017-11-03	12	2t
-1.0	-1	6	287.238769531	283.397802734	279.406005859	11	2017-11-03	18	2t
-1.0	-1	12	287.238769531	283.676269531	279.406005859	11	2017-11-03	18	2t
-1.0	-1	0	281.195556641	280.689697266	280.183837891	12	2017-11-03	6	2t
-1.0	-1	6	285.421630859	283.636067708	280.183837891	12	2017-11-03	12	2t
-1.0	-1	6	285.421630859	282.928173828	280.020751953	12	2017-11-03	18	2t
-1.0	-1	12	285.421630859	283.051432292	280.020751953	12	2017-11-03	18	2t
-1.0	-1	0	281.794189453	281.153564453	280.512939453	13	2017-11-03	6	2t
-1.0	-1	6	284.975830078	283.224772135	280.512939453	13	2017-11-03	12	2t
-1.0	-1	6	284.975830078	282.549169922	279.469482422	13	2017-11-03	18	2t
-1.0	-1	12	284.975830078	282.682454427	279.469482422	13	2017-11-03	18	2t
-1.0	-1	0	275.408447266	275.378540039	275.348632812	14	2017-11-03	6	2t
-1.0	-1	6	281.611328125	278.891113281	275.348632812	14	2017-11-03	12	2t
-1.0	-1	6	281.611328125	278.433105469	275.348632812	14	2017-11-03	18	2t
-1.0	-1	12	281.611328125	279.034505208	275.431884766	14	2017-11-03	18	2t
-1.0	-1	0	278.599609375	278.224487305	277.849365234	15	2017-11-03	6	2t
-1.0	-1	6	282.473144531	280.751464844	278.599609375	15	2017-11-03	12	2t
-1.0	-1	6	282.896728516	280.765771484	278.599609375	15	2017-11-03	18	2t
-1.0	-1	12	282.896728516	281.349202474	278.677734375	15	2017-11-03	18	2t
-1.0	0	0	281.130615234	281.022094727	280.913574219	0	2017-11-03	6	2t
-1.0	0	6	287.272705078	284.433349609	280.913574219	0	2017-11-03	12	2t
-1.0	0	6	287.272705078	283.778759766	280.653564453	0	2017-11-03	18	2t
-1.0	0	12	287.272705078	284.288818359	280.653564453	0	2017-11-03	18	2t
-1.0	0	0	280.659423828	279.647338867	278.635253906	1	2017-11-03	6	2t
-1.0	0	6	283.994873047	281.317708333	278.635253906	1	2017-11-03	12	2t
-1.0	0	6	283.994873047	281.690332031	278.635253906	1	2017-11-03	18	2t
-1.0	0	12	283.994873047	282.831136068	280.779052734	1	2017-11-03	18	2t
-1.0	0	0	281.727783203	280.664916992	279.602050781	2	2017-11-03	6	2t
-1.0	0	6	286.063964844	283.875895182	279.602050781	2	2017-11-03	12	2t
-1.0	0	6	286.063964844	283.374121094	279.602050781	2	2017-11-03	18	2t
-1.0	0	12	285.961669922	283.734863281	280.742675781	2	2017-11-03	18	2t
